0,afk,akun,aplikasi,bagus,baik,banget,bintang,bug,buruk,cuman,data,developer,download,event,game,game bagus,gamenya,ganti,gb,gitu,gk,grafik,gua,gw,habis,hero,hp,imbang,in,jaring,jaring bagus,jelek,kadang,kalah,kali,karna,kasih,kasih bintang,kredit,kurang,lag,lancar,langsung,lawan,legend,legends,loading,login,main,main game,masuk,match,merah,ml,mlbb,mobile,mobile legends,mode,mohon,mohon baik,moonton,musuh,ngelag,nyaman,orang,pakai,pake,parah,pas,ping,player,ram,rank,sampe,seru,simpan,sinyal,sinyal bagus,sistem,skin,solo,stabil,stuck,suka,susah,tanding,team,teman,terima,terima kasih,terimakasih,tim,tolong,tolong baik,turun,udah,udh,ulang,update,wifi,status,aktual,sentimen
10,0.0,0.0,0.0,0.2232889901124236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4064732818443549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4834896352399044,0.0,0.0,0.0,0.0,0.0,0.0,0.4606171847727767,0.4254685927492038,0.4483948630822958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2164811206243079,0.0,0.0,0.0,0.0,0.0,0.4659091902160273,0.4164301883654313,1.0,negatif,negatif
11,0.0,0.0,0.0,0.0,0.1437394245988359,0.0,0.0,0.0,0.0,0.0,0.0,0.2394912776462866,0.0,0.2623320195750924,0.0,0.0,0.0,0.0,0.0,0.0,0.2441513149226009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9516469019676056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5226085052284564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2677051210920629,0.1991972118736998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2482812842718028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1391664346870551,0.0,0.0,0.0,0.0,0.0,0.2995130508531604,0.0,1.0,negatif,negatif
12,0.1380487178889324,0.0,0.0,0.2318770281936707,0.1547963034141309,0.124742910943711,0.0,0.1007110672290007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1314660926506313,0.0,0.0,0.0,0.0,0.2264546267991266,0.0,0.0,0.0,0.0,0.0,0.0,0.1435525964904968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1306113566204501,0.0,0.0,0.0,0.0,0.1696248929685412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3347235936276261,0.0,0.0,0.1418171951335556,0.0,0.2895092347890016,0.0,0.0,0.441832769393404,0.1552136064515639,0.0,0.0,0.0,0.0,0.0,0.1641987930354679,0.0,0.3028048357766486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,negatif,negatif
13,0.3262969695556584,0.3811984283585678,0.3811984283585678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0787757436546703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2676281953080587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3613571950840207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2974568900380834,0.0,0.0,0.0,0.0,0.3159943618004763,0.0,0.0,0.3687824706307723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,negatif,negatif
14,0.0,0.0,0.0,0.0956952814767529,0.0958262830658906,0.1544436040255469,0.0,0.3740696782791454,0.0,0.0,0.0,0.0,0.0,0.0,0.753430678108024,0.0841366774486808,0.0,0.0,0.0,0.3569401614560839,0.1627675432817339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1702867351601058,0.0,0.0,0.0,0.0,0.0,0.1742028350761521,0.0807692715059,0.1447247775329986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4144196873484895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2032937437581984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,negatif,negatif
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2618487747954018,0.0,0.0,0.0,0.0,0.0,0.3672648274051294,0.7911022120134252,0.0,0.0,0.0,0.4122565144730292,0.0,0.6836236817832828,0.0,0.0,0.0,0.0,0.0,0.3170556330254058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3732367508752916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2788760966231798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,negatif,negatif
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6344312679784038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5795153109912136,0.4386389816710108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3983944237473997,0.0,0.389281604050924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5623518378709188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5354102421841259,1.0,positif,positif
17,0.0,0.0,0.0,0.1435429222151295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2264683093038613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2897576554956068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2613042526142282,0.0,0.0,0.0,0.315017658370148,0.2811759189354594,0.2466005344567889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8205465717306073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2811759189354594,0.0,0.0,0.0,0.0,0.0,0.0,0.1391664346870551,0.0,0.2013684602440121,0.0,0.0,0.0,0.2995130508531604,0.0,1.0,negatif,negatif
18,0.0,0.0,0.0,0.0,0.1341567962922468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2448432182700863,0.2637007373378084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309910549375138,0.0,0.0,0.0,0.0,0.0,0.2748376763153528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2438839691066129,0.0,0.0,0.4956133382162837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2863891244002886,0.0,0.0,0.2010937100284533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2509080034838014,0.0,0.0,0.2552811556495222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2597773447491696,0.2649952763949485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,negatif,negatif
19,0.2760974357778648,0.0,0.0,0.1545846854624471,0.1547963034141309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.317120395748484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3416168366037559,0.0,0.0,0.0,0.0,0.2620727006398684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8442137392151988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.637777640454614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1498715450475978,0.3057637804557098,0.0,0.0,0.0,0.0,0.0,0.0,1.0,negatif,negatif
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3740696782791454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5226085052284564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3983944237473997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3950130317351276,0.0,0.5185840942332139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3784656295172531,0.2783328693741102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,negatif,negatif
21,0.0,0.0,0.0,0.0,0.1006175972191851,0.0,0.0,0.1309243873977009,0.0,0.0,0.4100092288878234,0.3352877887048013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1585278165127029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3406945108318289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1958885366042139,0.0,0.0,0.0,0.1829129768299597,0.0,0.0,0.0,0.0,0.1968231432548216,0.0,0.2072777331477495,0.0,0.0,0.0,0.0,0.2147918433002164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6218331994432487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1948330085618771,0.0,0.0,0.0,0.0,0.1268058375260445,0.0,0.0,1.0,negatif,negatif
22,0.0,0.0,0.0,0.0,0.1829410858530638,0.0,0.0,0.2380443407230925,0.0,0.0,0.0,0.0,0.0,0.3338771158228449,0.3595919145515569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4037289887135297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332569048781745,0.0,0.0,0.0,0.0,0.0,0.3138552256722769,0.0,0.0,0.0,0.0,0.0,0.3905306241822117,0.0,0.0,0.2742186954933454,0.0,0.0,0.0,0.3747786495209357,0.0,0.0,0.2535237242028907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,negatif,negatif
